director,main_actor,name,puntuaciones,rating,sec_actor,time_genre
"Francis Ford Coppola,Steven Spielberg,Francis Ford Coppola,Frank Darabont,Roger Allers,Rob Minkoff,Roberto Benigni,Robert Zemeckis,Ridley Scott,Quentin Tarantino,Martin Scorsese","Marlon Brando,Liam Neeson,Kathleen Beller,Tim Robbins,Matthew Broderick,Tom Hanks,Russell Crowe,John Travolta,Ray Liotta","El padrino,La lista de Schindler,El Padrino. Parte II,Cadena perpetua,El Rey León,La vida es bella,Forrest Gump,Gladiator (El gladiador),Pulp Fiction,Uno de los nuestros"," Medios , Usuarios ,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos ","4,8,4,7,--,4,5,4,6,3,0,--,3,9,4,6,--,4,3,4,6,4,0,--,4,5,4,6,2,0,--,4,2,4,6,2,5,--,4,1,4,6,3,5,--,3,9,4,6,2,0,--,4,6,4,6,4,5,--,5,0,4,6,5,0,--,4,3,4,1,4,0,4,0,3,8,3,7,3,6,3,4,3,3,3,1","Al Pacino,Ben Kingsley,Ignazio Pappalardo,Morgan Freeman,Jonathan Taylor,Horst Buchholz,Gary Sinise,Joaquin Phoenix,Samuel L. Jackson,Robert De Niro","
2h 55min
,

,,
,
,
3h 15min
,
,,
,
,
3h 20min
,
,,
,
,
2h 22min
,
,
,
1h 29min
,

,,
,,
,
,
1h 57min

,
,,
,
,
2h 20min
,
,,
,,
,
,
2h 35min
,
,,
,
,
2h 29min
,
,,
,
,
2h 25min
,
,,
,
"
"Christopher Nolan,Peter Jackson,Joe Russo,Anthony Russo,Peter Jackson,Eric Toledano,Olivier Nakache,Adrian Molina,Lee Unkrich,Peter Jackson,George Lucas,Roman Polanski,Hayao Miyazaki","Christian Bale,Elijah Wood,Robert Downey Jr.,François Cluzet,Anthony Gonzalez (VIII),Mark Hamill,Adrien Brody,Rumi Hiiragi","El caballero oscuro,El Señor de los Anillos: La Comunidad del Anillo,Vengadores: Infinity War,El Señor de los Anillos: Las dos torres,Intocable,Coco,El Señor de los Anillos: El retorno del Rey,Star Wars: Episodio IV - Una nueva esperanza (La guerra de las galaxias),El pianista,El viaje de Chihiro"," Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos ","5,0,4,5,3,5,--,4,6,4,5,4,0,--,3,7,4,5,3,5,--,4,5,4,5,3,5,--,2,5,4,5,2,0,--,4,0,4,5,4,0,--,4,6,4,5,3,5,--,4,8,4,5,--,4,6,4,5,3,5,--,5,0,4,5,4,0,--,4,3,4,1,4,0,4,0,3,8,3,7,3,6,3,4,3,3,3,1","Heath Ledger,Sean Astin,Chris Hemsworth,Omar Sy,Benjamin Bratt,Harrison Ford,Thomas Kretschmann,Miyu Irino","
2h 32min
,
,,
,
,
2h 58min
 ,
,,
,
,
2h 36min
,
,,
,,
,
,
2h 59min
,
,,

,
,
1h 52min
,
,
,
1h 45min
,
,,
,,
,
,
3h 21min
,
,,
,
,
2h 01min
,
,,
,
,
2h 28min
,
,,
,
,
2h 05min
,
,,
,
"
"Irvin Kershner,John Lasseter,Brian De Palma,Sidney Lumet,Joe Russo,Anthony Russo,Steven Spielberg,Jonathan Demme,Pete Docter,Bob Peterson,David Fincher,Clint Eastwood","Mark Hamill,Tim Allen,Al Pacino,Henry Fonda,Robert Downey Jr.,Ryan Hurst,Anthony Hopkins,Edward Asner,Brad Pitt","Star Wars : Episodio V - El imperio contraataca,Toy Story (Juguetes),El precio del poder,12 hombres sin piedad,Vengadores: Endgame,Salvar al soldado Ryan,El silencio de los corderos,Up,Seven,Gran Torino"," Medios , Usuarios ,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos ","3,7,4,5,--,4,7,4,5,5,0,--,4,5,4,5,--,4,8,4,5,--,4,1,4,5,4,5,--,5,0,4,5,3,5,--,4,4,4,5,4,5,--,4,2,4,5,4,5,--,4,1,4,5,3,5,--,4,4,4,5,4,0,--,4,3,4,1,4,0,4,0,3,8,3,7,3,6,3,4,3,3,3,1","Harrison Ford,Don Rickles,Michelle Pfeiffer,Martin Balsam,Chris Evans,Tom Hanks,Jodie Foster,Jordan Nagai,Morgan Freeman,Bee Vang","
2h 04min
,
,,
,
,
1h 17min
,
,,
,,
,
,
2h 45min
,
,,
,
,
1h 35min
,
,
,
3h 01min
,
,,
,,
,
,
2h 43min
,
,,
,
,
1h 58min
,
,,
,
,
1h 35min
,
,,
,,
,
,
2h 10min
,
,,
,
,
1h 56min
,
,,
,
"
"Andrew Stanton,Steven Spielberg,Richard Marquand,Robert Zemeckis,Mel Gibson,Gabriele Muccino,Ridley Scott,Lee Unkrich,Bryan Singer,Stanley Kubrick","Ben Burtt,Sam Neill,Mark Hamill,Michael J. Fox,Will Smith,Sigourney Weaver,Tom Hanks,Rami Malek,Jack Nicholson","WALL·E Batallón de limpieza,Jurassic Park (Parque Jurásico),Star Wars: Episodio VI - El retorno del Jedi,Regreso al futuro,Braveheart,En busca de la felicidad,Alien, el octavo pasajero,Toy Story 3,Bohemian Rhapsody,El resplandor"," Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Mis amigos , Medios , Usuarios ,Mis amigos ","4,9,4,5,4,5,--,4,0,4,5,3,5,--,2,7,4,5,--,3,9,4,5,3,0,--,4,3,4,5,3,5,--,3,2,4,5,2,5,--,4,8,4,5,5,0,--,4,8,4,5,5,0,--,3,0,4,5,--,3,6,4,5,--,4,3,4,1,4,0,4,0,3,8,3,7,3,6,3,4,3,3,3,1","Elissa Knight,Laura Dern,Harrison Ford,Christopher Lloyd,Sophie Marceau,Thandiwe Newton,Tom Skerritt,Tim Allen,Gwilym Lee,Shelley Duvall","
1h 37min
,
,,
,,
,
,
2h 02min
,
,,
,
,
2h 13min
,
,,
,
,
1h 56min
 ,
,,
,
,
2h 45min
,
,,

,
,
1h 58min
,
,,
,
,
1h 56min
,
,,
,
,
1h 40min
,
,,
,,
,
,
2h 15min
,
,,
,
,
2h 23min
,
 ,,
,
"
"Pete Docter,David Silverman,Lee Unkrich,Christopher Nolan,Martin Scorsese,Frank Darabont,Lasse Hallström,Sergio Leone,Clint Eastwood,Brad Bird,Andrew Stanton,Lee Unkrich,Makoto Shinkai","John Goodman,Christian Bale,Robert De Niro,Tom Hanks,Richard Gere,Clint Eastwood,Patton Oswalt,Albert Brooks,Ryûnosuke Kamiki","Monstruos, S.A.,El caballero oscuro. La leyenda renace,Taxi Driver,La milla verde,Siempre a tu lado. Hachiko,El bueno, el feo y el malo,Million Dollar Baby,Ratatouille,Buscando a Nemo,Your Name"," Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Mis amigos ","4,4,4,4,4,0,--,4,1,4,4,4,0,--,4,8,4,4,--,3,6,4,4,2,0,--,2,0,4,4,1,0,--,4,1,4,4,--,4,7,4,4,3,0,--,4,4,4,4,4,0,--,4,8,4,4,5,0,--,4,1,4,4,--,4,3,4,1,4,0,4,0,3,8,3,7,3,6,3,4,3,3,3,1","Billy Crystal,Gary Oldman,Jodie Foster,Michael Clarke Duncan,Joan Allen,Eli Wallach,Morgan Freeman,Brad Garrett,Ellen DeGeneres,Mone Kamishiraishi","
1h 32min
,
,,
,,
,
,
2h 44min
,
,,
,
,
1h 55min
,
,,
,
,

3h 09min
,
,,
,
,
1h 33min
,
,,
,
,
3h 00min
,
,
,
2h 12min
,
,
,
1h 50min
 ,
,,
,,
,
,
1h 41min
,
,,

,,
,
,
1h 50min
,
 ,,
,
"
"James Cameron,Todd Phillips,Gary Trousdale,Kirk Wise,Joe Wright,Steven Spielberg,Bob Persichetti,Peter Ramsey,Rodney Rothman,Christopher Nolan,Jon Watts,Sergio Leone,Victor Fleming,George Cukor,Sam Wood","Arnold Schwarzenegger,Joaquin Phoenix,Paige O'Hara,Keira Knightley,Harrison Ford,Shameik Moore,Leonardo DiCaprio,Tom Holland,Vivien Leigh","Terminator 2: El juicio final,Joker,La Bella y la Bestia,Pride and Prejudice (Orgullo y prejuicio),Indiana Jones y la última cruzada,Spider-Man: Un nuevo universo,Origen,Spider-Man: No Way Home,Érase una vez en América,Lo que el viento se llevó"," Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Mis amigos , Medios , Usuarios ,Mis amigos ","4,0,4,4,4,5,--,3,9,4,4,4,5,--,4,5,4,4,2,5,--,4,5,4,4,4,0,--,4,6,4,4,--,4,1,4,4,4,5,--,3,9,4,4,3,5,--,4,0,4,4,4,0,--,3,8,4,4,--,4,9,4,4,--,4,3,4,1,4,0,4,0,3,8,3,7,3,6,3,4,3,3,3,1","Linda Hamilton,Robert De Niro,Robby Benson,Matthew Macfadyen,Sean Connery,Jake Johnson (XVI),Marion Cotillard, Zendaya,James Woods,Clark Gable","
2h 15min
,
,,
,
,
2h 02min
,
,
,
1h 27min
,
,,
,,
,
,
2h 09min
,
,,
,
,
2h 07min
,
,,
,
,
1h 57min
,
,,
,,

,
,
2h 28min
,
,,
,
,
2h 28min
,
,,
,,
,

,
3h 40min
,
,,
,
,
3h 58min
,
,,
,
"
"William Friedkin,Henry Selick,Chris Columbus,Pete Docter,M. Night Shyamalan,Quentin Tarantino,Martin Scorsese,Steven Spielberg,Giuseppe Tornatore,Alfred Hitchcock","Linda Blair,Chris Sarandon,Daniel Radcliffe,Amy Poehler,Bruce Willis,Jamie Foxx,Robert De Niro,Roy Scheider,Philippe Noiret,Anthony Perkins","El Exorcista,Pesadilla antes de Navidad,Harry Potter y la Piedra Filosofal,Del revés (Inside Out),El sexto sentido,Django desencadenado,Casino,Tiburón,Cinema Paradiso,Psicosis"," Medios , Usuarios ,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos ","4,0,4,4,--,4,0,4,4,4,5,--,4,4,4,5,--,4,6,4,4,5,0,--,3,6,4,4,4,0,--,4,0,4,4,4,0,--,3,9,4,4,5,0,--,4,5,4,4,--,4,4,4,4,4,0,--,3,8,4,4,5,0,--,4,3,4,1,4,0,4,0,3,8,3,7,3,6,3,4,3,3,3,1","Ellen Burstyn,Danny Elfman,Rupert Grint,Bill Hader,Haley Joel Osment,Christoph Waltz,Sharon Stone,Robert Shaw,Jacques Perrin,Janet Leigh","
2h 01min
,
,
,
1h 15min
,
,,
,,
,
,
2h 32min
,
,,
,,
,
,
1h 35min
,
,,
,,
,
,
1h 47min
,
,,
,
,
2h 44min
,
,
,
2h 58min
,
,
,
2h 04min
,
,,
,
,

1h 58min
,
,
,
1h 49min
,
,,

,
"
"Milos Forman,Christopher Nolan,Richard Donner,John G. Avildsen,David Yates,Bong Joon Ho,Ridley Scott,Alfonso Cuarón,Tim Burton,Kátia Lund,Fernando Meirelles","Michael Berryman,Matthew McConaughey,Sean Astin,Sylvester Stallone,Daniel Radcliffe,Song Kang-Ho,Harrison Ford,Johnny Depp,Alexandre Rodrigues","Alguien voló sobre el nido del cuco,Interstellar,Los Goonies,Rocky,Harry Potter y las reliquias de la muerte: Parte 2,Parásitos,Blade Runner,Harry Potter y el Prisionero de Azkaban,Eduardo Manostijeras,Ciudad de Dios"," Medios , Usuarios ,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Mis amigos , Medios , Usuarios ,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos ","4,2,4,4,--,4,3,4,4,4,0,--,3,6,4,4,--,3,7,4,4,--,3,6,4,4,3,0,--,4,3,4,4,5,0,--,4,2,4,4,4,5,--,4,1,4,4,3,5,--,4,0,4,4,4,0,--,3,9,4,4,4,0,--,4,3,4,1,4,0,4,0,3,8,3,7,3,6,3,4,3,3,3,1","Dean R. Brooks,Anne Hathaway,Josh Brolin,Talia Shire,Rupert Grint,Woo-sik Choi,Rutger Hauer,Winona Ryder,Leandro Firmino da Hora","
2h 09min
,
,
,
2h 49min
,
,,
,
,
1h 41min

,
,,
,,
,
,
1h 59min
,
,,
,
,
2h 10min
,
,,
,
,
 2h 12min
,
,
,
1h 57min
,
,
,
2h 20min
,
,,
,
,
1h 45min
,
,,
,,
,
,
2h 15min
,
,,
,
"
"Tony Kaye,Alfred Hitchcock,George Tillman Jr.,Martin Scorsese,Alfred Hitchcock,Stanley Kubrick,William Wyler,Orson Welles,Mark Herman,Mel Gibson","Edward Norton,James Stewart,Robert De Niro,Ray Winstone,Malcolm McDowell,Charlton Heston,Asa Butterfield,Andrew Garfield","American History X,Vértigo (De entre los muertos),Hombres de honor,Infiltrados,La ventana indiscreta,La naranja mecánica,Ben-Hur,Ciudadano Kane,El niño con el pijama de rayas,Hasta el último hombre"," Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Mis amigos , Medios , Usuarios ,Mis amigos , Medios , Usuarios ,Mis amigos , Medios , Usuarios ,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos ","3,9,4,4,3,0,--,4,8,4,4,--,3,5,4,4,2,0,--,4,7,4,3,2,5,--,4,9,4,3,5,0,--,3,7,4,3,--,4,3,4,3,--,5,0,4,3,--,3,5,4,3,--,3,3,4,3,4,0,--,4,3,4,1,4,0,4,0,3,8,3,7,3,6,3,4,3,3,3,1","Edward Furlong,Kim Novak,Cuba Gooding Jr.,Leonardo DiCaprio,Grace Kelly,Patrick Magee,Stephen Boyd,Joseph Cotten,Vera Farmiga,Vince Vaughn","
1h 59min
,
,
,
2h 09min
,

,,
,
,
2h 09min
,
,,
,
,
2h 30min
,
,,
,
,

1h 50min
,
,,
,
,
2h 16min
,
,,
,
,
3h 32min
,
,,
,,
,
,
1h 59min
,
,
,
1h 30min
,
 ,,
,
,
2h 20min
,
,,
,,
,
"
"Quentin Tarantino,Stanley Kubrick,Andrew Adamson,Vicky Jenson,Quentin Tarantino,Zack Snyder,Nick Cassavetes,Tim Burton,Christopher Nolan,Mike Newell,James Cameron","Brad Pitt,Keir Dullea,Mike Myers,Harvey Keitel,Ben Affleck,Ryan Gosling,Ewan McGregor,Christian Bale,Daniel Radcliffe,Leonardo DiCaprio","Malditos bastardos,2001: Una odisea del espacio,Shrek,Reservoir Dogs,La Liga de la Justicia de Zack Snyder,El diario de Noa,Big Fish,Batman Begins,Harry Potter y el Cáliz de Fuego,Titanic"," Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Usuarios ,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos , Medios , Usuarios ,Sensacine,Mis amigos ","4,5,4,3,3,0,--,4,8,4,3,4,0,--,4,1,4,3,4,0,--,4,6,4,3,5,0,--,4,3,--,2,9,4,3,3,5,--,3,6,4,3,3,5,--,4,8,4,3,3,0,--,4,2,4,3,3,0,--,4,3,4,3,2,5,--,4,3,4,1,4,0,4,0,3,8,3,7,3,6,3,4,3,3,3,1","Mélanie Laurent,Gary Lockwood,Eddie Murphy,Tim Roth,Henry Cavill,Rachel McAdams,Albert Finney,Katie Holmes,Emma Watson,Kate Winslet","
2h 33min
,
,,
,
,

2h 21min
,
,
,
1h 29min
,
,,
 ,,
,
,
1h 39min
,
,,
,

,
4h 02min
,
,,
,,

,
,
2h 01min
,
,,
,
,
2h 05min
,
,,
,
,
2h 20min
,
,,
,
,
2h 35min
,
,
,
3h 14min
,
,,
,
"
